fiscal_year,section,line_item,original_budget,final_budget,actual,variance
2010,revenue,Taxes,473681000.0,472161000.0,479775000.0,7614000.0
2010,revenue,Licenses and Permits,7036000.0,6939000.0,7769000.0,830000.0
2010,revenue,Intergovernmental,6543000.0,6212000.0,7768000.0,1556000.0
2010,revenue,Revenues from Utilities,261208000.0,282485000.0,292726000.0,10241000.0
2010,revenue,Charges for Services,43031000.0,44333000.0,45850000.0,1517000.0
2010,revenue,Fines and Forfeits,14157000.0,14139000.0,11506000.0,-2633000.0
2010,revenue,Investment Earnings,2174000.0,1034000.0,1832000.0,798000.0
2010,revenue,Miscellaneous,8364000.0,9555000.0,10267000.0,712000.0
2010,revenue,Transfers from Other Funds,27955000.0,36581000.0,36581000.0,0.0
2010,revenue,Amounts Available for Appropriation,844149000.0,873439000.0,894074000.0,20635000.0
2010,expenditure,General Government,97975000.0,86977000.0,82942000.0,-4035000.0
2010,expenditure,Public Safety,506841000.0,507106000.0,505045000.0,-2061000.0
2010,expenditure,Public Works,41933000.0,45341000.0,44237000.0,-1104000.0
2010,expenditure,Health Services,71862000.0,74782000.0,73898000.0,-884000.0
2010,expenditure,Sanitation,3163000.0,3385000.0,3212000.0,-173000.0
2010,expenditure,Culture and Recreation,75447000.0,77655000.0,76983000.0,-672000.0
2010,expenditure,Welfare,39177000.0,42627000.0,41142000.0,-1485000.0
2010,expenditure,Economic Development and Opportunity,2459000.0,2838000.0,2907000.0,69000.0
2010,expenditure,Transfers to Other Funds,48199000.0,66495000.0,66495000.0,0.0
2010,expenditure,Total Charges to Appropriations,887056000.0,907206000.0,896861000.0,-10345000.0
2011,revenue,Taxes,469952000.0,474859000.0,483198000.0,8339000.0
2011,revenue,Licenses and Permits,5651000.0,7416000.0,8680000.0,1264000.0
2011,revenue,Intergovernmental,7534000.0,6475000.0,5403000.0,-1072000.0
2011,revenue,Revenues from Utilities,285628000.0,296590000.0,308451000.0,11861000.0
2011,revenue,Charges for Services,43940000.0,46873000.0,50134000.0,3261000.0
2011,revenue,Fines and Forfeits,14794000.0,14902000.0,13697000.0,-1205000.0
2011,revenue,Miscellaneous,9229000.0,15298000.0,18880000.0,3582000.0
2011,revenue,Investment Earnings,1259000.0,786000.0,1819000.0,1033000.0
2011,revenue,Transfers from Other Funds,23563000.0,15946000.0,14603000.0,-1343000.0
2011,revenue,Amounts Available for Appropriation,861550000.0,879145000.0,904865000.0,25720000.0
2011,expenditure,General Government,107560000.0,89243000.0,81729000.0,-7514000.0
2011,expenditure,Public Safety,527607000.0,536765000.0,530955000.0,-5810000.0
2011,expenditure,Public Works,40505000.0,44905000.0,45357000.0,452000.0
2011,expenditure,Health Services,72194000.0,74826000.0,76619000.0,1793000.0
2011,expenditure,Sanitation,3276000.0,3312000.0,3354000.0,42000.0
2011,expenditure,Welfare,41856000.0,46294000.0,44342000.0,-1952000.0
2011,expenditure,Culture and Recreation,81829000.0,83884000.0,83291000.0,-593000.0
2011,expenditure,Economic Development and Opportunity,12205000.0,12334000.0,13428000.0,1094000.0
2011,expenditure,Transfers to Other Funds,52070000.0,55616000.0,55500000.0,-116000.0
2011,expenditure,Total Charges to Appropriations,939102000.0,947179000.0,934575000.0,-12604000.0
2012,revenue,Taxes,479178000.0,490786000.0,500679000.0,9893000.0
2012,revenue,Licenses and Permits,8080000.0,8306000.0,8469000.0,163000.0
2012,revenue,Intergovernmental,6629000.0,5685000.0,7997000.0,2312000.0
2012,revenue,Revenues from Utilities,299769000.0,300511000.0,299306000.0,-1205000.0
2012,revenue,Charges for Services,47700000.0,48055000.0,47960000.0,-95000.0
2012,revenue,Fines and Forfeits,14430000.0,13931000.0,14401000.0,470000.0
2012,revenue,Miscellaneous,12348000.0,13226000.0,18044000.0,4818000.0
2012,revenue,Investment Earnings,1639000.0,988000.0,1306000.0,318000.0
2012,revenue,Transfers from Other Funds,34018000.0,18410000.0,18877000.0,467000.0
2012,revenue,Amounts Available for Appropriation,903791000.0,899898000.0,917039000.0,17141000.0
2013,revenue,Taxes,504712000.0,510442000.0,516689000.0,6247000.0
2013,revenue,Licenses and Permits,8463000.0,8139000.0,8343000.0,204000.0
2013,revenue,Intergovernmental,6725000.0,6651000.0,6892000.0,241000.0
2013,revenue,Revenues from Utilities,296711000.0,296134000.0,307300000.0,11166000.0
2013,revenue,Charges for Services,49615000.0,50114000.0,50094000.0,-20000.0
2013,revenue,Fines and Forfeits,14455000.0,14271000.0,13508000.0,-763000.0
2013,revenue,Miscellaneous,10978000.0,11179000.0,13911000.0,2732000.0
2013,revenue,Investment Earnings,1045000.0,761000.0,785000.0,24000.0
2013,revenue,Transfers from Other Funds,31678000.0,14824000.0,17341000.0,2517000.0
2013,revenue,Amounts Available for Appropriation,924382000.0,912515000.0,934863000.0,22348000.0
2014,revenue,Taxes,530279000.0,538091000.0,547578000.0,9487000.0
2014,revenue,Licenses and Permits,7546000.0,7382000.0,7396000.0,14000.0
2014,revenue,Intergovernmental,7353000.0,8102000.0,8301000.0,199000.0
2014,revenue,Revenues from Utilities,304077000.0,331846000.0,348480000.0,16634000.0
2014,revenue,Charges for Services,57513000.0,57097000.0,56796000.0,-301000.0
2014,revenue,Fines and Forfeits,14370000.0,13236000.0,13204000.0,-32000.0
2014,revenue,Miscellaneous,7790000.0,10199000.0,12254000.0,2055000.0
2014,revenue,Investment Earnings,755000.0,507000.0,627000.0,120000.0
2014,revenue,Transfers from Other Funds,12380000.0,27295000.0,27699000.0,404000.0
2014,revenue,Amounts Available for Appropriation,942063000.0,993755000.0,1022335000.0,28580000.0
2015,revenue,Taxes,558958000.0,575040000.0,571781000.0,-3259000.0
2015,revenue,Licenses and Permits,7987000.0,7890000.0,8107000.0,217000.0
2015,revenue,Intergovernmental,8088000.0,8104000.0,8071000.0,-33000.0
2015,revenue,Revenues from Utilities,329336000.0,342881000.0,348997000.0,6116000.0
2015,revenue,Charges for Services,63560000.0,59266000.0,70692000.0,11426000.0
2015,revenue,Fines and Forfeits,13449000.0,12375000.0,12235000.0,-140000.0
2015,revenue,Miscellaneous,10104000.0,11677000.0,10790000.0,-887000.0
2015,revenue,Investment Earnings,571000.0,530000.0,525000.0,-5000.0
2015,revenue,Contributions,100000.0,100000.0,185000.0,85000.0
2015,revenue,Transfers from Other Funds,42476000.0,23545000.0,27773000.0,4228000.0
2015,revenue,Amounts Available for Appropriation,1034629000.0,1041408000.0,1059156000.0,17748000.0
2015,expenditure,General Government,76648000.0,76481000.0,74075000.0,-2406000.0
2015,expenditure,Public Safety,689294000.0,697453000.0,693371000.0,-4082000.0
2015,expenditure,Public Works,55997000.0,60489000.0,57312000.0,-3177000.0
2015,expenditure,Health Services,23415000.0,23952000.0,23425000.0,-527000.0
2015,expenditure,Welfare,32995000.0,35072000.0,34166000.0,-906000.0
2015,expenditure,Culture and Recreation,87848000.0,89466000.0,88567000.0,-899000.0
2015,expenditure,Convention and Tourism,658000.0,659000.0,739000.0,80000.0
2015,expenditure,Economic Development and Opportunity,11107000.0,27751000.0,27044000.0,-707000.0
2015,expenditure,Urban Redevelopment and Housing,14962000.0,15795000.0,15382000.0,-413000.0
2015,expenditure,Principal Retirement,12330000.0,12330000.0,12330000.0,0.0
2015,expenditure,Interest,462000.0,462000.0,462000.0,0.0
2015,expenditure,Transfers to Other Funds,45365000.0,49766000.0,48921000.0,-845000.0
2015,expenditure,Total Charges to Appropriations,1051081000.0,1089676000.0,1075794000.0,-13882000.0
2016,revenue,Taxes,611596000.0,605684000.0,603826000.0,-1858000.0
2016,revenue,Licenses and Permits,7872000.0,8500000.0,8961000.0,461000.0
2016,revenue,Intergovernmental,7916000.0,8094000.0,8051000.0,-43000.0
2016,revenue,Revenues from Utilities,349830000.0,340258000.0,345666000.0,5408000.0
2016,revenue,Charges for Services,61221000.0,60675000.0,66985000.0,6310000.0
2016,revenue,Fines and Forfeits,12303000.0,12547000.0,10842000.0,-1705000.0
2016,revenue,Miscellaneous,8835000.0,12195000.0,18246000.0,6051000.0
2016,revenue,Investment Earnings,657000.0,962000.0,919000.0,-43000.0
2016,revenue,Contributions,100000.0,100000.0,186000.0,86000.0
2016,revenue,Transfers from Other Funds,28354000.0,24123000.0,24344000.0,221000.0
2016,revenue,Amounts Available for Appropriation,1088684000.0,1073138000.0,1088026000.0,14888000.0
2016,expenditure,General Government,73922000.0,75311000.0,73481000.0,-1830000.0
2016,expenditure,Public Safety,713701000.0,711899000.0,711887000.0,-12000.0
2016,expenditure,Public Works,57782000.0,60646000.0,60159000.0,-487000.0
2016,expenditure,Health Services,24957000.0,25340000.0,25177000.0,-163000.0
2016,expenditure,Welfare,33756000.0,35878000.0,35332000.0,-546000.0
2016,expenditure,Culture and Recreation,108954000.0,111959000.0,111398000.0,-561000.0
2016,expenditure,Convention and Tourism,685000.0,685000.0,720000.0,35000.0
2016,expenditure,Economic Development and Opportunity,9866000.0,17697000.0,16802000.0,-895000.0
2016,expenditure,Urban Redevelopment and Housing,14210000.0,14371000.0,13991000.0,-380000.0
2016,expenditure,Principal Retirement,3885000.0,3885000.0,2960000.0,-925000.0
2016,expenditure,Interest,448000.0,448000.0,330000.0,-118000.0
2016,expenditure,Transfers to Other Funds,50518000.0,76097000.0,73480000.0,-2617000.0
2016,expenditure,Total Charges to Appropriations,1092684000.0,1134216000.0,1125717000.0,-8499000.0
2017,revenue,Taxes,638103000.0,637601000.0,634866000.0,-2735000.0
2017,revenue,Licenses and Permits,8827000.0,9180000.0,9264000.0,84000.0
2017,revenue,Intergovernmental,7548000.0,7621000.0,7654000.0,33000.0
2017,revenue,Revenues from Utilities,357123000.0,357169000.0,363612000.0,6443000.0
2017,revenue,Charges for Services,61882000.0,64151000.0,69241000.0,5090000.0
2017,revenue,Fines and Forfeits,12402000.0,11672000.0,11859000.0,187000.0
2017,revenue,Miscellaneous,9226000.0,11752000.0,15079000.0,3327000.0
2017,revenue,Investment Earnings,1545000.0,1510000.0,1678000.0,168000.0
2017,revenue,Contributions,100000.0,8000.0,2079000.0,2071000.0
2017,revenue,Transfers from Other Funds,30252000.0,24967000.0,24448000.0,-519000.0
2017,revenue,Amounts Available for Appropriation,1127008000.0,1125631000.0,1139780000.0,14149000.0
2017,expenditure,General Government,81828000.0,84074000.0,80187000.0,-3887000.0
2017,expenditure,Public Safety,731422000.0,731220000.0,730008000.0,-1212000.0
2017,expenditure,Public Works,57566000.0,61991000.0,61055000.0,-936000.0
2017,expenditure,Health Services,26892000.0,26964000.0,26489000.0,-475000.0
2017,expenditure,Welfare,37660000.0,37749000.0,37074000.0,-675000.0
2017,expenditure,Culture and Recreation,115190000.0,118928000.0,118899000.0,-29000.0
2017,expenditure,Convention and Tourism,710000.0,710000.0,111000.0,-599000.0
2017,expenditure,Economic Development and Opportunity,9331000.0,17239000.0,19596000.0,2357000.0
2017,expenditure,Urban Redevelopment and Housing,14535000.0,14926000.0,14292000.0,-634000.0
2017,expenditure,Principal Retirement,3050000.0,3050000.0,3050000.0,0.0
2017,expenditure,Interest,261000.0,261000.0,261000.0,0.0
2017,expenditure,Transfers to Other Funds,56237000.0,80735000.0,80414000.0,-321000.0
2017,expenditure,Total Charges to Appropriations,1134682000.0,1177847000.0,1171436000.0,-6411000.0
2018,revenue,Taxes,671450000.0,667238000.0,669961000.0,2723000.0
2018,revenue,Licenses and Permits,9199000.0,9389000.0,9157000.0,-232000.0
2018,revenue,Intergovernmental,6916000.0,6869000.0,8113000.0,1244000.0
2018,revenue,Revenues from Utilities,368857000.0,370041000.0,389319000.0,19278000.0
2018,revenue,Charges for Services,65358000.0,71009000.0,69753000.0,-1256000.0
2018,revenue,Fines and Forfeits,11950000.0,11414000.0,11885000.0,471000.0
2018,revenue,Miscellaneous,10311000.0,11878000.0,20323000.0,8445000.0
2018,revenue,Investment Earnings,1656000.0,3615000.0,4421000.0,806000.0
2018,revenue,Transfers from Other Funds,21877000.0,21798000.0,22157000.0,359000.0
2018,revenue,Amounts Available for Appropriation,1167574000.0,1173251000.0,1205170000.0,31919000.0
2018,expenditure,General Government,83484000.0,86166000.0,82358000.0,-3808000.0
2018,expenditure,Public Safety,755540000.0,756451000.0,750394000.0,-6057000.0
2018,expenditure,Public Works,63658000.0,67036000.0,66466000.0,-570000.0
2018,expenditure,Health Services,28234000.0,28523000.0,28592000.0,69000.0
2018,expenditure,Welfare,38308000.0,38914000.0,38640000.0,-274000.0
2018,expenditure,Culture and Recreation,117900000.0,124083000.0,123454000.0,-629000.0
2018,expenditure,Economic Development and Opportunity,10307000.0,20494000.0,23487000.0,2993000.0
2018,expenditure,Urban Redevelopment and Housing,17931000.0,18026000.0,17565000.0,-461000.0
2018,expenditure,Principal Retirement,3140000.0,3140000.0,3140000.0,0.0
2018,expenditure,Interest,189000.0,189000.0,189000.0,0.0
2018,expenditure,Transfers to Other Funds,67283000.0,98520000.0,98113000.0,-407000.0
