fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
General Fund,GENERAL FUND,City Sales Tax,196242533.0,2008,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,5200000.0,2008,False
General Fund,GENERAL FUND,Current Property Tax,226095647.0,2008,False
General Fund,GENERAL FUND,Delinquent Property Tax,2693037.0,2008,False
General Fund,GENERAL FUND,Annexation 0,1089723.0,2008,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2045202.0,2008,False
General Fund,GENERAL FUND,Business and Franchise Tax,27127386.0,2008,False
General Fund,GENERAL FUND,Licenses and Permits,5778367.0,2008,False
General Fund,GENERAL FUND,CPS Energy,228767000.0,2008,False
General Fund,GENERAL FUND,CPS Energy (One Time Revenue) 0 0,15736000.0,2008,False
General Fund,GENERAL FUND,Additional CPS Energy Transfer,9459706.0,2008,False
General Fund,GENERAL FUND,San Antonio Water System,9425230.0,2008,False
General Fund,GENERAL FUND,Other Agencies,6063214.0,2008,False
General Fund,GENERAL FUND,General Government,3483992.0,2008,False
General Fund,GENERAL FUND,Planning,4242546.0,2008,False
General Fund,GENERAL FUND,Public Safety,21698116.0,2008,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,1496725.0,2008,False
General Fund,GENERAL FUND,Health,4581667.0,2008,False
General Fund,GENERAL FUND,Recreation and Culture,12648068.0,2008,False
General Fund,GENERAL FUND,Fines,10956705.0,2008,False
General Fund,GENERAL FUND,Sale of Property,3376735.0,2008,False
General Fund,GENERAL FUND,Use of Money and Property,6889573.0,2008,False
General Fund,GENERAL FUND,Recovery of Expenditures,978912.0,2008,False
General Fund,GENERAL FUND,Miscellaneous,301320.0,2008,False
General Fund,GENERAL FUND,Interfund Charges,522037.0,2008,False
General Fund,GENERAL FUND,TOTAL GENERAL FUND,801567172.0,2008,True
Other Funds,OTHER FUNDS,Advanced Transportation District,11485400.0,2008,False
Other Funds,OTHER FUNDS,Animal Care,7201871.0,2008,False
Other Funds,OTHER FUNDS,Aviation,61242051.0,2008,False
Other Funds,OTHER FUNDS,Better Jobs,95429.0,2008,False
Other Funds,OTHER FUNDS,Capital Improvements Management Services N/A N/A N/A,10671701.0,2008,False
Other Funds,OTHER FUNDS,Child Safety,2072358.0,2008,False
Other Funds,OTHER FUNDS,Community & Visitor Facilities,35036490.0,2008,False
Other Funds,OTHER FUNDS,Confiscated Property,852621.0,2008,False
Other Funds,OTHER FUNDS,Convention and Visitors Bureau,19231081.0,2008,False
Other Funds,OTHER FUNDS,Cultural Affairs,7968344.0,2008,False
Other Funds,OTHER FUNDS,Development & Planning Services N/A,33279773.0,2008,False
Other Funds,OTHER FUNDS,Emergency Medical Services,52088768.0,2008,False
Other Funds,OTHER FUNDS,Environmental Services,83861602.0,2008,False
Other Funds,OTHER FUNDS,Equipment Renewal & Replacement,26134759.0,2008,False
Other Funds,OTHER FUNDS,Facility Services,10411951.0,2008,False
Other Funds,OTHER FUNDS,Facility Services Improvement & Contingency,1865866.0,2008,False
Other Funds,OTHER FUNDS,Golf,5017204.0,2008,False
Other Funds,OTHER FUNDS,Hotel/Motel 2%,15225752.0,2008,False
Other Funds,OTHER FUNDS,Hotel Occupancy Tax,54235857.0,2008,False
Other Funds,OTHER FUNDS,Information Technology Services,40125408.0,2008,False
Other Funds,OTHER FUNDS,International Center,1372264.0,2008,False
Other Funds,OTHER FUNDS,Municipal Courts Security,498043.0,2008,False
Other Funds,OTHER FUNDS,Municipal Courts Technology,510019.0,2008,False
Other Funds,OTHER FUNDS,Parking,11681621.0,2008,False
Other Funds,OTHER FUNDS,Parks Development and Expansion -,993366.0,2008,False
Other Funds,OTHER FUNDS,Parks Development and Expansion -,52010498.0,2008,False
Other Funds,OTHER FUNDS,Passenger Facility Charge,17096120.0,2008,False
Other Funds,OTHER FUNDS,Public Health Support,2787671.0,2008,False
Other Funds,OTHER FUNDS,Purchasing & General Services,38180392.0,2008,False
Other Funds,OTHER FUNDS,Recreation Athletic,661709.0,2008,False
Other Funds,OTHER FUNDS,San Jose Burial,473406.0,2008,False
Other Funds,OTHER FUNDS,Self Insurance,131829385.0,2008,False
Other Funds,OTHER FUNDS,South Texas Business,601692.0,2008,False
Other Funds,OTHER FUNDS,Starbright Industrial Development Corporation,1661871.0,2008,False
Other Funds,OTHER FUNDS,Stormwater,34958291.0,2008,False
Other Funds,OTHER FUNDS,Stormwater Regional Facilities,7134418.0,2008,False
Other Funds,OTHER FUNDS,Streets Maintenance & Improvement,60735338.0,2008,False
Other Funds,OTHER FUNDS,Streets Right of Way,1155621.0,2008,False
Other Funds,OTHER FUNDS,Tax Increment Financing,442928.0,2008,False
Other Funds,OTHER FUNDS,Tree Preservation Mitigation,619996.0,2008,False
Other Funds,OTHER FUNDS,Visitor Information Center & City Store,543504.0,2008,False
Other Funds,OTHER FUNDS,Westside Development Corporation,600000.0,2008,False
Other Funds,OTHER FUNDS,TOTAL OTHER FUNDS,789176000.0,2008,True
General Fund,GENERAL FUND,Current Property Tax,245250281.0,2009,False
General Fund,GENERAL FUND,City Sales Tax,202809519.0,2009,False
General Fund,GENERAL FUND,CPS Energy,288861091.0,2009,False
General Fund,GENERAL FUND,Business and Franchise Tax,27300627.0,2009,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,5356000.0,2009,False
General Fund,GENERAL FUND,Delinquent Property Tax,2622664.0,2009,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2000000.0,2009,False
General Fund,GENERAL FUND,Licenses and Permits,6129118.0,2009,False
General Fund,GENERAL FUND,San Antonio Water System,9880665.0,2009,False
General Fund,GENERAL FUND,Other Agencies,5959635.0,2009,False
General Fund,GENERAL FUND,General Government,3645208.0,2009,False
General Fund,GENERAL FUND,Public Safety,20918642.0,2009,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,1638763.0,2009,False
General Fund,GENERAL FUND,Health,3758426.0,2009,False
General Fund,GENERAL FUND,Recreation and Culture,11712710.0,2009,False
General Fund,GENERAL FUND,Fines,12166379.0,2009,False
General Fund,GENERAL FUND,Sale of Property,4041689.0,2009,False
General Fund,GENERAL FUND,Use of Money and Property,5767108.0,2009,False
General Fund,GENERAL FUND,Recovery of Expenditures,1025235.0,2009,False
General Fund,GENERAL FUND,Miscellaneous,296455.0,2009,False
General Fund,GENERAL FUND,Interfund Charges,529171.0,2009,False
General Fund,GENERAL FUND,TOTAL GENERAL FUND,861669386.0,2009,True
Other Funds,OTHER FUNDS,Advanced Transportation District,12021417.0,2009,False
Other Funds,OTHER FUNDS,Animal Care,9055097.0,2009,False
Other Funds,OTHER FUNDS,Aviation,71285711.0,2009,False
Other Funds,OTHER FUNDS,Better Jobs,20167.0,2009,False
Other Funds,OTHER FUNDS,Capital Improvements Management Services N/A,14844714.0,2009,False
Other Funds,OTHER FUNDS,Child Safety,1963757.0,2009,False
Other Funds,OTHER FUNDS,Community & Visitor Facilities,34895295.0,2009,False
Other Funds,OTHER FUNDS,Confiscated Property,801743.0,2009,False
Other Funds,OTHER FUNDS,Convention and Visitors Bureau,20637158.0,2009,False
Other Funds,OTHER FUNDS,Cultural Affairs,8466286.0,2009,False
Other Funds,OTHER FUNDS,Economic Development Incentive Fund,5132137.0,2009,False
Other Funds,OTHER FUNDS,Equipment Renewal & Replacement,26449769.0,2009,False
Other Funds,OTHER FUNDS,Facility Services,13147464.0,2009,False
Other Funds,OTHER FUNDS,Facility Services Improvement & Contingency,1687758.0,2009,False
Other Funds,OTHER FUNDS,Golf,1027290.0,2009,False
Other Funds,OTHER FUNDS,Hotel/Motel 2%,16209785.0,2009,False
Other Funds,OTHER FUNDS,Hotel Occupancy Tax,57397223.0,2009,False
Other Funds,OTHER FUNDS,Information Technology Services,41156920.0,2009,False
Other Funds,OTHER FUNDS,International Center,1369537.0,2009,False
Other Funds,OTHER FUNDS,Municipal Courts Security,561720.0,2009,False
Other Funds,OTHER FUNDS,Municipal Courts Technology,547659.0,2009,False
Other Funds,OTHER FUNDS,Parking,11521665.0,2009,False
Other Funds,OTHER FUNDS,Parks Development and Expansion -,463207.0,2009,False
Other Funds,OTHER FUNDS,Parks Development and Expansion -,46373527.0,2009,False
Other Funds,OTHER FUNDS,Passenger Facility Charge,17542164.0,2009,False
Other Funds,OTHER FUNDS,Planning & Development Services,29718162.0,2009,False
Other Funds,OTHER FUNDS,Purchasing & General Services,50835344.0,2009,False
Other Funds,OTHER FUNDS,Recreation Athletic,708739.0,2009,False
Other Funds,OTHER FUNDS,San Jose Burial,515161.0,2009,False
Other Funds,OTHER FUNDS,Self Insurance,124924925.0,2009,False
Other Funds,OTHER FUNDS,Solid Waste Operating & Maintenance,94654876.0,2009,False
Other Funds,OTHER FUNDS,South Texas Business,648747.0,2009,False
Other Funds,OTHER FUNDS,Starbright Industrial Development Corporation,1662682.0,2009,False
Other Funds,OTHER FUNDS,Storm Water,34399063.0,2009,False
Other Funds,OTHER FUNDS,Storm Water Regional Facilities,5793192.0,2009,False
Other Funds,OTHER FUNDS,Streets Endownment Fund N/A 0,72700.0,2009,False
Other Funds,OTHER FUNDS,Streets Maintenance & Improvement,67205529.0,2009,False
Other Funds,OTHER FUNDS,Streets Right of Way,1245710.0,2009,False
Other Funds,OTHER FUNDS,Tax Increment Financing,629478.0,2009,False
Other Funds,OTHER FUNDS,Tree Canopy Investment,199419.0,2009,False
Other Funds,OTHER FUNDS,Tree Preservation Mitigation,567809.0,2009,False
Other Funds,OTHER FUNDS,Visitor Information Center & City Store,497246.0,2009,False
Other Funds,OTHER FUNDS,Westside Development Corporation 0 0 0,110000.0,2009,False
Other Funds,OTHER FUNDS,TOTAL OTHER FUNDS,826551288.0,2009,True
General Fund,GENERAL FUND,Current Property Tax,244465405.0,2010,False
General Fund,GENERAL FUND,City Sales Tax,189565423.0,2010,False
General Fund,GENERAL FUND,CPS Energy,251053000.0,2010,False
General Fund,GENERAL FUND,Business and Franchise Tax,29872482.0,2010,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,5516680.0,2010,False
General Fund,GENERAL FUND,Delinquent Property Tax,2658500.0,2010,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2048240.0,2010,False
General Fund,GENERAL FUND,Licenses and Permits,5647275.0,2010,False
General Fund,GENERAL FUND,San Antonio Water System,10155356.0,2010,False
General Fund,GENERAL FUND,Other Agencies,8214376.0,2010,False
General Fund,GENERAL FUND,General Government,4576918.0,2010,False
General Fund,GENERAL FUND,Public Safety,23571432.0,2010,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,673682.0,2010,False
General Fund,GENERAL FUND,Health,3523991.0,2010,False
General Fund,GENERAL FUND,Recreation and Culture,11026183.0,2010,False
General Fund,GENERAL FUND,Fines,14234582.0,2010,False
General Fund,GENERAL FUND,Sale of Property,3515709.0,2010,False
General Fund,GENERAL FUND,Use of Money and Property 0,1643548.0,2010,False
General Fund,GENERAL FUND,Interest on Time Deposits,1990480.0,2010,False
General Fund,GENERAL FUND,Recovery of Expenditures,1192081.0,2010,False
General Fund,GENERAL FUND,Miscellaneous,161558.0,2010,False
General Fund,GENERAL FUND,Interfund Charges,886759.0,2010,False
General Fund,GENERAL FUND,TOTAL GENERAL FUND,816193660.0,2010,True
Other Funds,OTHER FUNDS,Advanced Transportation District,11003407.0,2010,False
