bond_program,proposition,authorized,issued,unissued,fiscal_year
2012 G.O. Bonds,"Streets, Bridges, and Sidewalks²",338000000.0,200000000.0,134000000.0,2015
2012 G.O. Bonds,Drainage and Flood Control,128000000.0,73000000.0,55000000.0,2015
2012 G.O. Bonds,"Parks, Recreation, and Open Space",87000000.0,70000000.0,17000000.0,2015
2012 G.O. Bonds,"Library, Museum, and Cultural Arts Facilities",29000000.0,26000000.0,3000000.0,2015
2012 G.O. Bonds,Public Safety Facilities,14000000.0,8000000.0,6000000.0,2015
2012 G.O. Bonds,Total,596000000.0,377000000.0,214000000.0,2015
2012 G.O. Bonds,"Streets, Bridges, and Sidewalks²",338000000.0,299000000.0,35000000.0,2016
2012 G.O. Bonds,Drainage and Flood Control,128000000.0,112000000.0,16000000.0,2016
2012 G.O. Bonds,"Parks, Recreation, and Open Space",87000000.0,85000000.0,2000000.0,2016
2012 G.O. Bonds,"Library, Museum, and Cultural Arts Facilities",29000000.0,28000000.0,1000000.0,2016
2012 G.O. Bonds,Public Safety Facilities,14000000.0,14000000.0,0.0,2016
2012 G.O. Bonds,Total,596000000.0,538000000.0,54000000.0,2016
2017 G.O. Bonds,"Streets, Bridges, and Sidewalks²",338000000.0,334000000.0,0.0,2017
2017 G.O. Bonds,Drainage and Flood Control,128000000.0,128000000.0,0.0,2017
2017 G.O. Bonds,"Parks, Recreation, and Open Space",87000000.0,87000000.0,0.0,2017
2017 G.O. Bonds,"Library, Museum, and Cultural Arts Facilities",29000000.0,29000000.0,0.0,2017
2017 G.O. Bonds,Public Safety Facilities,14000000.0,14000000.0,0.0,2017
2017 G.O. Bonds,Total,596000000.0,592000000.0,0.0,2017
2017 G.O. Bonds,"Streets, Bridges, and Sidewalks",445000000.0,48000000.0,397000000.0,2018
2017 G.O. Bonds,Drainage and Flood Control,139000000.0,19000000.0,120000000.0,2018
2017 G.O. Bonds,"Parks, Recreation, and Open Space",188000000.0,24000000.0,164000000.0,2018
2017 G.O. Bonds,Library and Cultural Arts Facilities,24000000.0,3000000.0,21000000.0,2018
2017 G.O. Bonds,Public Safety Facilities,34000000.0,3000000.0,31000000.0,2018
2017 G.O. Bonds,Total,850000000.0,100000000.0,750000000.0,2018
2017 G.O. Bonds,"Streets, Bridges, and Sidewalks",445000000.0,131000000.0,314000000.0,2019
2017 G.O. Bonds,Drainage and Flood Control,139000000.0,48000000.0,91000000.0,2019
