source,fy_amount,multiyear_amount,fiscal_year
Total,550000.0,,2011
Total,550000.0,,2012
Total,636336000.0,,2013
Total,569826000.0,,2014
2007 G.O. Bonds,30149000.0,32349000.0,2015
2012 G.O. Bonds,229734000.0,429166000.0,2015
Aviation Funding,80103000.0,260602000.0,2015
Certificates Of Obligation,62087000.0,183828000.0,2015
Grant Funding,2200000.0,2200000.0,2015
Other,104694000.0,149833000.0,2015
Storm Water Revenue Bonds,6309000.0,6402000.0,2015
Total,664576000.0,1278640000.0,2015
Total,585305000.0,1289518000.0,2017
2017 G.O. Bonds,128195000.0,831105000.0,2018
2007 G.O. Bonds,19380000.0,19680000.0,2018
Total,690337000.0,1905353000.0,2019
2007 G.O. Bonds,15288000.0,20556000.0,2019
Storm Water Revenue Bonds,5047000.0,5203000.0,2019
Tax Notes,44058000.0,194378000.0,2019
2017 G.O. Bonds,255355000.0,661204000.0,2020
Tax Notes,67850000.0,257475000.0,2020
Other1,139940000.0,254989000.0,2020
Certificates of Obligation,98156000.0,248555000.0,2020
Airport Funding,52116000.0,181824000.0,2020
Self-Supporting Certificates of Obligation,37247000.0,94833000.0,2020
2012 G.O. Bonds,32392000.0,40762000.0,2020
2007 G.O. Bonds,13961000.0,15225000.0,2020
Storm Water Revenue Bonds,3966000.0,4174000.0,2020
Other1,105178000.0,,2021
Certificates Of Obligation,105025000.0,,2021
Tax Notes,46772000.0,,2021
Airport Funding,42602000.0,,2021
Self-Supporting Certificates Of Obligation,72430000.0,,2021
2012 G.O. Bonds,26341000.0,,2021
2007 G.O. Bonds,7015000.0,,2021
Storm Water Revenue Bonds,2246000.0,,2021
Total,640801000.0,,2021
Other1,113248000.0,,2022
Certificates Of Obligation,83231000.0,,2022
Tax Notes,50860000.0,,2022
Airport Funding,66909000.0,,2022
Self-Supporting Certificates Of Obligation,55023000.0,,2022
2012 G.O. Bonds,22551000.0,,2022
2007 G.O. Bonds,11389000.0,,2022
Storm Water Revenue Bonds,2100000.0,,2022
Total,592156000.0,,2022
Other Facilities,4674000.0,15333000.0,2023
Total,651387000.0,2879671000.0,2023
2007 G.O. Bonds,3085000.0,3406000.0,2023
2017 G.O. Bonds,114285000.0,226857000.0,2023
2022 G.O. Bonds,159195000.0,1198304000.0,2023
Aviation Funding,83329000.0,296989000.0,2023
Certificates of Obligation,78990000.0,395028000.0,2023
Other*,143232000.0,432801000.0,2023
Self-Supporting Certificates of Obligation,10113000.0,35031000.0,2023
Storm Water Revenue Bonds,426000.0,745000.0,2023
Tax Notes,37539000.0,261360000.0,2023
Grant Funding,10619000.0,13800000.0,2023
Previous Debt,7583000.0,13537000.0,2024
2017 G.O. Bonds,82136000.0,127821000.0,2024
2022 G.O. Bonds,152548000.0,1146226000.0,2024
Aviation Funding,252855000.0,2000235000.0,2024
Certificates of Obligation,81283000.0,499201000.0,2024
Other*,130090000.0,351384000.0,2024
Self-Supporting Certificates of Obligation,9092000.0,26739000.0,2024
Storm Water Revenue Bonds,196000.0,275000.0,2024
Tax Notes,73831000.0,225707000.0,2024
Grant Funding,8221000.0,11116000.0,2024
Total,797835000.0,4402241000.0,2024
Previous Debt,8153000.0,14580000.0,2025
2017 G.O. Bonds,42461000.0,89346000.0,2025
2022 G.O. Bonds,193953000.0,1027485000.0,2025
Aviation Funding,291940000.0,2417665000.0,2025
Certificates of Obligation,119152000.0,596627000.0,2025
Other*,113069000.0,272880000.0,2025
Self-Supporting Certificates of,17517000.0,26218000.0,2025
Tax Notes,68090000.0,234735000.0,2025
Grant Funding,5908000.0,6669000.0,2025
Total,860243000.0,4686205000.0,2025
Previous Debt,5341000.0,12185000.0,2026
2017 G.O. Bonds,17690000.0,45981000.0,2026
2022 G.O. Bonds,203292000.0,840926000.0,2026
Aviation Funding*,648832000.0,2142852000.0,2026
Certificates of Obligation,153163000.0,616272000.0,2026
Other**,88789000.0,248706000.0,2026
Self-Supporting Certificates of Obligation,5796000.0,22796000.0,2026
Tax Notes,32620000.0,170285000.0,2026
Storm Water Revenue Bonds,0.0,112000.0,2026
Total,1155523000.0,4100115000.0,2026
