section,line_item,amount,fund,fiscal_year
balance,BEGINNING BALANCE,116124682.0,General Fund,2008
revenue,Property Tax,230833886.0,General Fund,2008
revenue,Sales Tax,196242533.0,General Fund,2008
revenue,Other Tax,32327386.0,General Fund,2008
revenue,Licenses and Permits,5778367.0,General Fund,2008
revenue,CPS Energy,253962706.0,General Fund,2008
revenue,San Antonio Water System,9425230.0,General Fund,2008
revenue,Charges for Services,43908568.0,General Fund,2008
revenue,Fines & Forfeits,10956705.0,General Fund,2008
revenue,Miscellaneous,12068577.0,General Fund,2008
revenue,Subtotal Revenues,801567172.0,General Fund,2008
revenue,Transfers from other funds,25734568.0,General Fund,2008
revenue,TOTAL REVENUES,827301740.0,General Fund,2008
revenue,TOTAL AVAILABLE FUNDS,943426422.0,General Fund,2008
appropriation,Administrative & Operational Excellence,69711334.0,General Fund,2008
appropriation,"Convention, Tourism & Culture",609193.0,General Fund,2008
appropriation,Economic Development,16862886.0,General Fund,2008
appropriation,Environmental 0,901544.0,General Fund,2008
appropriation,Health & Human Services,77613926.0,General Fund,2008
appropriation,Neighborhood Services,10587574.0,General Fund,2008
appropriation,Parks & Recreation,46750338.0,General Fund,2008
appropriation,Public Safety,525252227.0,General Fund,2008
appropriation,Streets & Infrastructure,13029408.0,General Fund,2008
appropriation,Subtotal Appropriations,760416886.0,General Fund,2008
appropriation,Transfers to other funds,92132436.0,General Fund,2008
appropriation,TOTAL APPROPRIATIONS,852549322.0,General Fund,2008
appropriation,GROSS ENDING FUND BALANCE,90877100.0,General Fund,2008
balance,BEGINNING BALANCE,335450304.0,Total All Funds,2008
revenue,Property Tax,366259953.0,Total All Funds,2008
revenue,Sales Tax,232206661.0,Total All Funds,2008
revenue,Other Tax,100640203.0,Total All Funds,2008
revenue,Licenses and Permits,5778367.0,Total All Funds,2008
revenue,CPS Energy,253962706.0,Total All Funds,2008
revenue,San Antonio Water System,9425230.0,Total All Funds,2008
revenue,Charges for Services,313542997.0,Total All Funds,2008
revenue,Fines & Forfeits,12275357.0,Total All Funds,2008
revenue,Miscellaneous,55958588.0,Total All Funds,2008
revenue,Grants,176874729.0,Total All Funds,2008
revenue,Subtotal Revenues,1535450165.0,Total All Funds,2008
revenue,Transfers from other funds,203440981.0,Total All Funds,2008
revenue,TOTAL REVENUES,1738891146.0,Total All Funds,2008
revenue,TOTAL AVAILABLE FUNDS,2074341450.0,Total All Funds,2008
appropriation,Administrative & Operational Excellence,69808786.0,Total All Funds,2008
appropriation,"Convention, Tourism & Culture",63371102.0,Total All Funds,2008
appropriation,Economic Development,59632530.0,Total All Funds,2008
appropriation,Environmental,81131845.0,Total All Funds,2008
appropriation,Health & Human Services,239851164.0,Total All Funds,2008
appropriation,Neighborhood Services,11476088.0,Total All Funds,2008
appropriation,Parks & Recreation,53654891.0,Total All Funds,2008
appropriation,Public Safety,579990470.0,Total All Funds,2008
appropriation,Streets & Infrastructure,80496498.0,Total All Funds,2008
appropriation,Debt Service,193023570.0,Total All Funds,2008
appropriation,Subtotal Appropriations,1432436944.0,Total All Funds,2008
appropriation,Transfers to other funds,357730466.0,Total All Funds,2008
appropriation,TOTAL APPROPRIATIONS,1790167410.0,Total All Funds,2008
appropriation,GROSS ENDING FUND BALANCE,284174040.0,Total All Funds,2008
balance,BEGINNING BALANCE,86255937.0,General Fund,2009
revenue,Property Tax,249872945.0,General Fund,2009
revenue,Sales Tax,202809519.0,General Fund,2009
revenue,Other Tax,32656627.0,General Fund,2009
revenue,Licenses and Permits,6129118.0,General Fund,2009
revenue,CPS Energy,288861091.0,General Fund,2009
revenue,San Antonio Water System,9880665.0,General Fund,2009
revenue,Charges for Services,41673749.0,General Fund,2009
revenue,Fines & Forfeits,12166379.0,General Fund,2009
revenue,Miscellaneous,11659658.0,General Fund,2009
revenue,Subtotal Revenues,861669386.0,General Fund,2009
revenue,Transfers from other funds,25832769.0,General Fund,2009
revenue,TOTAL REVENUES,887502155.0,General Fund,2009
revenue,TOTAL AVAILABLE FUNDS,973758092.0,General Fund,2009
appropriation,Administrative & Operational Excellence,86474994.0,General Fund,2009
appropriation,"Convention, Tourism & Culture",574389.0,General Fund,2009
appropriation,Economic Development,16056586.0,General Fund,2009
appropriation,Environmental 0,1376453.0,General Fund,2009
appropriation,Health & Human Services,74504752.0,General Fund,2009
appropriation,Neighborhood Services,11167695.0,General Fund,2009
appropriation,Parks & Recreation,49987746.0,General Fund,2009
appropriation,Public Safety,563491492.0,General Fund,2009
appropriation,Streets & Infrastructure,15028046.0,General Fund,2009
appropriation,Subtotal Appropriations,817285700.0,General Fund,2009
appropriation,Transfers to other funds,112676235.0,General Fund,2009
appropriation,TOTAL APPROPRIATIONS,929961935.0,General Fund,2009
appropriation,GROSS ENDING FUND BALANCE,43796156.0,General Fund,2009
balance,BEGINNING BALANCE,318721257.0,Total All Funds,2009
revenue,Property Tax,398433696.0,Total All Funds,2009
revenue,Sales Tax,239622071.0,Total All Funds,2009
revenue,Other Tax,105238567.0,Total All Funds,2009
revenue,Licenses and Permits,6129118.0,Total All Funds,2009
revenue,CPS Energy,288861091.0,Total All Funds,2009
revenue,San Antonio Water System,9880665.0,Total All Funds,2009
revenue,Charges for Services,324947279.0,Total All Funds,2009
revenue,Fines & Forfeits,13585677.0,Total All Funds,2009
revenue,Miscellaneous,43468511.0,Total All Funds,2009
revenue,Grants,183867998.0,Total All Funds,2009
revenue,Subtotal Revenues,1622498089.0,Total All Funds,2009
revenue,Transfers from other funds,232727159.0,Total All Funds,2009
revenue,TOTAL REVENUES,1855225248.0,Total All Funds,2009
revenue,TOTAL AVAILABLE FUNDS,2173946505.0,Total All Funds,2009
appropriation,Administrative & Operational Excellence,86526994.0,Total All Funds,2009
appropriation,"Convention, Tourism & Culture",65049409.0,Total All Funds,2009
appropriation,Economic Development,61290707.0,Total All Funds,2009
appropriation,Environmental,96709644.0,Total All Funds,2009
appropriation,Health & Human Services,241486681.0,Total All Funds,2009
appropriation,Neighborhood Services,12056209.0,Total All Funds,2009
appropriation,Parks & Recreation,53349903.0,Total All Funds,2009
appropriation,Public Safety,624433129.0,Total All Funds,2009
appropriation,Streets & Infrastructure,88881407.0,Total All Funds,2009
appropriation,Debt Service,213554596.0,Total All Funds,2009
appropriation,Subtotal Appropriations,1543338680.0,Total All Funds,2009
appropriation,Transfers to other funds,387460191.0,Total All Funds,2009
