department,adopted_amount,fiscal_year
Asset Management,1389880.0,2008
City Attorney,7082703.0,2008
City Auditor,2595255.0,2008
City Clerk,1896905.0,2008
City Manager,2436531.0,2008
Communication & Public Affairs,1026145.0,2008
Community Initiatives,23310324.0,2008
Contract Services,1390782.0,2008
Customer Service & 311 System,3647705.0,2008
Downtown Operations,8184155.0,2008
Economic Development,2741493.0,2008
Finance,7181160.0,2008
Fire,203119222.0,2008
Health,18296083.0,2008
Human Resources,4435245.0,2008
Intergovernmental Relations,1220078.0,2008
International Affairs,590299.0,2008
Library,28439777.0,2008
Mayor and Council,4396400.0,2008
Municipal Courts,11384083.0,2008
Municipal Elections,35000.0,2008
Neighborhood Services,10587574.0,2008
Parks and Recreation,55567644.0,2008
Police,290099840.0,2008
Public Works,12273780.0,2008
Agencies,8361465.0,2008
Non-Departmental/Non-Operating,44961689.0,2008
One-Time Projects,3459998.0,2008
Emergency Medical Services,37055546.0,2008
Streets Maintenance & Improvement,59537574.0,2008
Animal Care,5889384.0,2008
Other Transfers,32594862.0,2008
TOTAL APPROPRIATIONS,852549322.0,2008
ENDING BALANCE,22709154.0,2008
(0) Contract Services,-1411229.0,2008
0 Emergency Medical Services,-35395721.0,2008
Code Compliance,6481639.0,2008
Communications & Public Affairs,1026145.0,2008
Development Services,15701733.0,2008
Downtown Operations 0,8184155.0,2008
Housing & Neighborhood Services,10587574.0,2008
Planning & Community Development,2722457.0,2008
Public Utilities Office,684047.0,2008
Street Maintenance,59537574.0,2008
Asset Management,1391955.0,2009
City Attorney,7201653.0,2009
City Auditor,3045753.0,2009
City Clerk,2260568.0,2009
City Manager,2598223.0,2009
Communication & Public Affairs,1037725.0,2009
Community Initiatives,23019918.0,2009
Customer Service & 311 System,3715139.0,2009
Downtown Operations,9757769.0,2009
Economic Development,2799762.0,2009
Finance,7532846.0,2009
Fire,218949840.0,2009
Health,14578344.0,2009
Housing & Neighborhood Services,11167695.0,2009
Human Resources,4782738.0,2009
Intergovernmental Relations,1215008.0,2009
International Affairs,583836.0,2009
Library,29885833.0,2009
Mayor and Council,4606427.0,2009
Municipal Courts,10707611.0,2009
Municipal Elections,2800000.0,2009
Parks and Recreation,58843340.0,2009
Police,313371197.0,2009
Public Works,14152938.0,2009
Agencies,7395046.0,2009
Non-Departmental/Non-Operating,55012485.0,2009
One-Time Projects,4545217.0,2009
Streets Maintenance & Improvement,65066340.0,2009
Animal Care,7994069.0,2009
Other Transfers,39615826.0,2009
TOTAL APPROPRIATIONS,67196529.0,2009
ENDING BALANCE $ 0,63546783.0,2009
Neighborhood Services,11167695.0,2009
Contract Services,1040273.0,2009
Emergency Medical Services,37055546.0,2009
ENDING BALANCE,63546783.0,2009
Beginning Balance,12000.0,2009
Adjustment for Reserve,-2600000.0,2009
Net Balance,12000.0,2009
Rental of Facility,1082717.0,2009
Maintenance of Facility,274673.0,2009
Recovery of Prior Year Expenditures 0 0,18395.0,2009
Interest on Time Deposits,1050698.0,2009
Total Revenues and Transfers,1369537.0,2009
Personal Services $ 3,126100.0,2009
Contractual Services 2,163821.0,2009
Commodities 6,25650.0,2009
Self Insurance/Other Expenditures 3,664573.0,2009
Capital Outlay 0 0,1160.0,2009
Subtotal Operating,29462210.0,2009
Public Improvement District 1,13263.0,2009
Improvement & Contingency 6,359054.0,2009
OPERATING RESERVE,84007.0,2009
BeginninginFY,1998.0,2009
Recovery of Prior Year Expenditures,25182.0,2009
Contribution from VIA,288491.0,2009
Contribution from Other Agencies,445284.0,2009
Transfer from Certificates of Obligation,3245680.0,2009
Transfer from Better Jobs Fund,1000000.0,2009
Transfer from Equipment and Renewal,488562.0,2009
Transfer from Environmental Services 0,800000.0,2009
Misc. Revenues,1253.0,2009
Transfer from Advanced Transportation District,1400000.0,2009
Total Revenue & Transfers,67205529.0,2009
Personal Services,11372083.0,2009
Contractual Services,3048959.0,2009
Commodities,7648774.0,2009
Self Insurance/Other Expenditures,7314394.0,2009
Capital Outlay,78000.0,2009
Contractual Street Repair - Prior Year,21520429.0,2009
Contractual NAMP 0,2000000.0,2009
Capital Improvement Management Services 0,459337.0,2009
Subtotal Transfers,37734319.0,2009
Animal Care 1 $ 0$ 0 0,158903.0,2010
City Attorney,6953006.0,2010
City Auditor,2772436.0,2010
City Clerk,2073712.0,2010
City Manager,2860781.0,2010
Communication & Public Affairs,1032892.0,2010
Community Initiatives,26371958.0,2010
Customer Service & 311 System,3652770.0,2010
Downtown Operations,8997762.0,2010
Economic Development,1891118.0,2010
Finance,7013194.0,2010
Fire,224597612.0,2010
Health,12192123.0,2010
Housing & Neighborhood Services,10536913.0,2010
Human Resources,3850741.0,2010
Intergovernmental Relations,920005.0,2010
International Affairs,495641.0,2010
Library,29124445.0,2010
Mayor and Council,4452917.0,2010
Municipal Courts,11504434.0,2010
Municipal Elections,42660.0,2010
Parks and Recreation,56711474.0,2010
Police,318181048.0,2010
Public Works,64174330.0,2010
Agencies,7356758.0,2010
Non-Departmental/Non-Operating,49221153.0,2010
One-Time Projects,1179998.0,2010
Animal Care 1,7411433.0,2010
Streets Maintenance & Improvement 1,45957614.0,2010
Other Transfers,19221471.0,2010
TOTAL APPROPRIATIONS,887077240.0,2010
ENDING BALANCE,53666076.0,2010
Animal Care,7516035.0,2010
Neighborhood Services,10536913.0,2010
0 Animal Care,-7060821.0,2010
0 Streets Maintenance & Improvement,-48372249.0,2010
